"filename", "language", "JavaScript", "CSS", "HTML", "JSON", "TypeScript", "Properties", "comment", "blank", "total"
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\lk_part\team_create.ejs", "HTML", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\loginForm.ejs", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\server\views\partials\regForm.ejs", "HTML", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\pages\lk.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 2, 51
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\pages\login.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\script.js", "JavaScript", 205, 0, 0, 0, 0, 0, 27, 38, 270
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\styles\lk.css", "CSS", 0, 24, 0, 0, 0, 0, 0, 3, 27
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\static\styles\style.css", "CSS", 0, 67, 0, 0, 0, 0, 1, 6, 74
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\auth.ejs", "HTML", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\contact.ejs", "HTML", 0, 0, 21, 0, 0, 0, 0, 2, 23
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\global\footer.ejs", "HTML", 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\global\header.ejs", "HTML", 0, 0, 13, 0, 0, 0, 0, 1, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\lk.ejs", "HTML", 0, 0, 8, 0, 0, 0, 0, 0, 8
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\dashboard_nav.ejs", "HTML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_main.ejs", "HTML", 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_part\profile.ejs", "HTML", 0, 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_part\team.ejs", "HTML", 0, 0, 36, 0, 0, 0, 0, 3, 39
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\lk_part\team_create.ejs", "HTML", 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\loginForm.ejs", "HTML", 0, 0, 10, 0, 0, 0, 0, 0, 10
"c:\Users\rudom.PENETRATOR\OneDrive\Documents\html\work\sport-live\views\partials\regForm.ejs", "HTML", 0, 0, 12, 0, 0, 0, 0, 0, 12
"Total", "-", 1655, 113, 314, 2850, 11, 10, 37, 306, 5296
